Date,Category,Percent
2019-07-31,Through work,15
2019-07-31,N/A - I have not met my partner,16
2019-07-31,Through mutual friends,15
2019-07-31,Don't remember,14
2019-07-31,Through online dating,12
2019-07-31,In passing while out,11
2019-07-31,Through education,8
2019-07-31,Through a shared interest,5
2019-07-31,Through family,2
2019-10-31,Through work,15
2019-10-31,N/A - I have not met my partner,16
2019-10-31,Through mutual friends,15
2019-10-31,Don't remember,14
2019-10-31,Through online dating,12
2019-10-31,In passing while out,11
2019-10-31,Through education,8
2019-10-31,Through a shared interest,5
2019-10-31,Through family,2
2020-01-31,Through work,15
2020-01-31,N/A - I have not met my partner,16
2020-01-31,Through mutual friends,15
2020-01-31,Don't remember,14
2020-01-31,Through online dating,12
2020-01-31,In passing while out,11
2020-01-31,Through education,8
2020-01-31,Through a shared interest,5
2020-01-31,Through family,2
2020-04-30,Through work,15
2020-04-30,N/A - I have not met my partner,16
2020-04-30,Through mutual friends,15
2020-04-30,Don't remember,14
2020-04-30,Through online dating,12
2020-04-30,In passing while out,11
2020-04-30,Through education,8
2020-04-30,Through a shared interest,5
2020-04-30,Through family,2
2020-07-31,Through work,15
2020-07-31,N/A - I have not met my partner,16
2020-07-31,Through mutual friends,15
2020-07-31,Don't remember,14
2020-07-31,Through online dating,12
2020-07-31,In passing while out,11
2020-07-31,Through education,8
2020-07-31,Through a shared interest,5
2020-07-31,Through family,2
2020-10-31,Through work,16
2020-10-31,N/A - I have not met my partner,16
2020-10-31,Through mutual friends,15
2020-10-31,Don't remember,14
2020-10-31,Through online dating,12
2020-10-31,In passing while out,11
2020-10-31,Through education,8
2020-10-31,Through a shared interest,5
2020-10-31,Through family,2
2021-01-31,Through work,16
2021-01-31,N/A - I have not met my partner,16
2021-01-31,Through mutual friends,15
2021-01-31,Don't remember,14
2021-01-31,Through online dating,12
2021-01-31,In passing while out,11
2021-01-31,Through education,8
2021-01-31,Through a shared interest,5
2021-01-31,Through family,2
2021-04-30,Through work,16
2021-04-30,N/A - I have not met my partner,16
2021-04-30,Through mutual friends,15
2021-04-30,Don't remember,14
2021-04-30,Through online dating,12
2021-04-30,In passing while out,11
2021-04-30,Through education,8
2021-04-30,Through a shared interest,5
2021-04-30,Through family,2
2021-07-31,Through work,16
2021-07-31,N/A - I have not met my partner,16
2021-07-31,Through mutual friends,15
2021-07-31,Don't remember,14
2021-07-31,Through online dating,12
2021-07-31,In passing while out,11
2021-07-31,Through education,8
2021-07-31,Through a shared interest,5
2021-07-31,Through family,2
2021-10-31,Through work,16
2021-10-31,N/A - I have not met my partner,16
2021-10-31,Through mutual friends,15
2021-10-31,Don't remember,14
2021-10-31,Through online dating,12
2021-10-31,In passing while out,11
2021-10-31,Through education,8
2021-10-31,Through a shared interest,5
2021-10-31,Through family,2
